MIT,73160.0,
WIT,53390.0,
UTEP,31598.0,
Dartmouth College,77201.0,
Vanderbilt,70146.0,
Holy Cross (HC),69190.0,
Notre Dame (ND),71801.0,
Worcester Polytechnic Institute (WPI),67504.0,
Colorado State University (CSU),30622.0,
Harvard,72391.0,
Tufts,79000.0,
University of Pittsburgh (Pitt),46475.0,
University of Richmond,67020.0,
New York University (NYU),53308.0,
University of Michigan (UMich),64386.0,
University of Massachusetts (UMass),30913.0,
Babson College,70378.0,
